fueltype,doornumber,drivewheel,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
gas,two,rwd,168.8,64.1,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495
gas,two,rwd,168.8,64.1,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500
gas,two,rwd,171.2,65.5,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500
gas,four,fwd,176.6,66.2,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950
gas,four,4wd,176.6,66.4,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450
gas,two,fwd,177.3,66.3,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250
gas,four,fwd,192.7,71.4,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710
gas,four,fwd,192.7,71.4,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920
gas,four,fwd,192.7,71.4,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
gas,two,4wd,178.2,67.9,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,17859.167
gas,two,rwd,176.8,64.8,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
gas,four,rwd,176.8,64.8,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925
gas,two,rwd,176.8,64.8,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970
gas,four,rwd,176.8,64.8,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105
gas,four,rwd,189,66.9,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565
gas,four,rwd,189,66.9,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760
gas,two,rwd,193.8,67.9,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315
gas,four,rwd,197,70.9,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880
gas,two,fwd,141.1,60.3,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151
gas,two,fwd,155.9,63.6,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
gas,four,fwd,158.8,63.6,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
gas,two,fwd,157.3,63.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572
gas,two,fwd,157.3,63.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377
gas,two,fwd,157.3,63.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957
gas,four,fwd,157.3,63.8,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
gas,four,fwd,157.3,63.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
gas,four,fwd,157.3,63.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
gas,two,fwd,157.3,63.8,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
gas,four,fwd,174.6,64.6,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
gas,two,fwd,173.2,66.3,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964
gas,two,fwd,144.6,63.9,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479
gas,two,fwd,144.6,63.9,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855
gas,two,fwd,150,64,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399
gas,two,fwd,150,64,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529
gas,two,fwd,150,64,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129
gas,four,fwd,163.4,64,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
gas,four,fwd,157.1,63.9,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295
gas,two,fwd,167.5,65.2,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895
gas,two,fwd,167.5,65.2,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095
gas,four,fwd,175.4,65.2,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845
gas,four,fwd,175.4,62.5,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295
gas,four,fwd,175.4,65.2,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945
gas,two,fwd,169.1,66,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345
gas,four,rwd,170.7,61.8,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785
gas,two,fwd,155.9,63.6,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
gas,four,fwd,155.9,63.6,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
gas,two,rwd,172.6,65.2,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048
gas,four,rwd,199.6,69.6,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250
gas,four,rwd,199.6,69.6,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550
gas,two,rwd,191.7,70.6,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000
gas,two,fwd,159.1,64.2,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195
gas,two,fwd,159.1,64.2,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095
gas,two,fwd,159.1,64.2,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795
gas,four,fwd,166.8,64.2,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695
gas,four,fwd,166.8,64.2,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395
gas,two,rwd,169,65.7,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945
gas,two,rwd,169,65.7,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845
gas,two,rwd,169,65.7,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645
gas,two,rwd,169,65.7,2500,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645
gas,two,fwd,177.8,66.5,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845
gas,four,fwd,177.8,66.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495
gas,two,fwd,177.8,66.5,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595
gas,four,fwd,177.8,66.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
diesel,four,fwd,177.8,66.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795
gas,four,fwd,177.8,66.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
gas,four,rwd,175,66.1,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280
diesel,four,rwd,175,66.1,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344
diesel,four,rwd,190.9,70.3,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552
diesel,four,rwd,190.9,70.3,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
diesel,two,rwd,187.5,70.3,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176
diesel,four,rwd,202.6,71.7,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600
gas,four,rwd,202.6,71.7,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184
gas,two,rwd,180.3,70.5,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056
gas,four,rwd,208.1,71.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960
gas,two,rwd,199.2,72,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400
gas,two,rwd,178.4,68,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503
gas,two,fwd,157.3,64.4,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389
gas,two,fwd,157.3,64.4,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189
gas,two,fwd,157.3,64.4,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669
gas,two,fwd,157.3,63.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689
gas,two,fwd,173,65.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959
gas,two,fwd,173,65.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499
gas,two,fwd,173.2,66.3,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629
gas,two,fwd,173.2,66.3,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869
gas,two,fwd,173.2,66.3,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489
gas,four,fwd,172.4,65.4,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989
gas,four,fwd,172.4,65.4,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189
gas,four,fwd,172.4,65.4,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
gas,four,fwd,172.4,65.4,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
gas,two,fwd,165.3,63.8,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
diesel,two,fwd,165.3,63.8,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099
gas,two,fwd,165.3,63.8,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649
gas,four,fwd,165.3,63.8,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849
gas,four,fwd,170.2,63.8,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349
gas,two,fwd,165.3,63.8,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299
gas,two,fwd,165.6,63.8,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799
gas,four,fwd,165.3,63.8,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499
gas,four,fwd,170.2,63.8,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999
gas,two,fwd,162.4,63.8,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249
gas,four,fwd,173.4,65.2,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949
gas,four,fwd,173.4,65.2,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549
gas,four,fwd,181.7,66.5,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499
gas,four,fwd,184.6,66.5,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399
gas,four,fwd,184.6,66.5,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499
gas,two,rwd,170.7,67.9,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199
gas,two,rwd,170.7,67.9,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699
gas,two,rwd,178.5,67.9,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399
gas,four,rwd,186.7,68.4,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900
diesel,four,rwd,186.7,68.4,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200
gas,four,rwd,198.9,68.4,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440
diesel,four,rwd,198.9,68.4,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,13860
gas,four,rwd,186.7,68.4,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580
diesel,four,rwd,186.7,68.4,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900
gas,four,rwd,198.9,68.4,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695
diesel,four,rwd,198.9,68.4,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,17075
gas,four,rwd,186.7,68.4,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
diesel,four,rwd,186.7,68.4,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950
gas,four,rwd,186.7,68.3,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150
gas,two,fwd,157.3,63.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572
gas,two,fwd,157.3,63.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957
gas,four,fwd,157.3,63.8,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
gas,four,fwd,167.3,63.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
gas,four,fwd,167.3,63.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
gas,four,fwd,174.6,64.6,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921
gas,two,rwd,173.2,66.3,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12764
gas,two,rwd,168.9,68.3,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018
gas,two,rwd,168.9,65,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
gas,two,rwd,168.9,65,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028
gas,two,rwd,168.9,65,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028
gas,two,rwd,175.7,72.3,3366,dohcv,eight,203,mpfi,3.94,3.11,10,288,5750,17,28,31400.5
gas,four,fwd,181.5,66.5,2579,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295
gas,two,fwd,176.8,66.6,2460,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895
gas,two,fwd,186.6,66.5,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850
gas,four,fwd,186.6,66.5,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170
gas,two,fwd,186.6,66.5,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040
gas,four,fwd,186.6,66.5,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510
gas,two,fwd,186.6,66.5,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150
gas,four,fwd,186.6,66.5,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620
gas,two,fwd,156.9,63.4,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118
gas,two,fwd,157.9,63.6,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053
gas,two,4wd,157.3,63.8,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603
gas,four,fwd,172,65.4,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126
gas,four,fwd,172,65.4,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775
gas,four,fwd,172,65.4,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960
gas,four,4wd,172,65.4,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233
gas,four,4wd,172,65.4,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259
gas,four,fwd,173.5,65.4,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463
gas,four,fwd,173.5,65.4,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198
gas,four,4wd,173.6,65.4,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,8013
gas,four,4wd,173.6,65.4,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694
gas,two,fwd,158.7,63.6,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,5348
gas,two,fwd,158.7,63.6,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6338
gas,four,fwd,158.7,63.6,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488
gas,four,fwd,169.7,63.6,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918
gas,four,4wd,169.7,63.6,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898
gas,four,4wd,169.7,63.6,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778
gas,four,fwd,166.3,64.4,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,6938
gas,four,fwd,166.3,64.4,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7198
diesel,four,fwd,166.3,64.4,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898
diesel,four,fwd,166.3,64.4,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788
gas,four,fwd,166.3,64.4,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738
gas,four,fwd,166.3,64.4,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358
gas,four,fwd,166.3,64.4,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258
gas,two,rwd,168.7,64,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8058
gas,two,rwd,168.7,64,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238
gas,two,rwd,168.7,64,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298
gas,two,rwd,168.7,64,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538
gas,two,rwd,176.2,65.6,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449
gas,two,rwd,176.2,65.6,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639
gas,two,rwd,176.2,65.6,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989
gas,two,rwd,176.2,65.6,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199
gas,two,rwd,176.2,65.6,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549
gas,two,rwd,176.2,65.6,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669
gas,four,fwd,175.6,66.5,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948
diesel,four,fwd,175.6,66.5,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698
gas,four,fwd,175.6,66.5,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988
gas,four,fwd,175.6,66.5,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898
gas,four,fwd,175.6,66.5,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248
gas,two,rwd,183.5,67.7,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558
gas,two,rwd,183.5,67.7,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998
gas,four,rwd,187.8,66.5,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690
gas,four,rwd,187.8,66.5,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750
diesel,two,fwd,171.7,65.5,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7775
gas,two,fwd,171.7,65.5,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975
diesel,four,fwd,171.7,65.5,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995
gas,four,fwd,171.7,65.5,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195
gas,four,fwd,171.7,65.5,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495
diesel,four,fwd,171.7,65.5,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495
gas,four,fwd,171.7,65.5,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995
gas,two,fwd,159.3,64.2,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595
gas,two,fwd,165.7,64,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980
gas,four,fwd,180.2,66.9,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295
diesel,four,fwd,180.2,66.9,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,13845
gas,four,fwd,183.1,66.9,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290
gas,four,rwd,188.8,67.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940
gas,four,rwd,188.8,67.2,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415
gas,four,rwd,188.8,67.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985
gas,four,rwd,188.8,67.2,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515
gas,four,rwd,188.8,67.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420
gas,four,rwd,188.8,67.2,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950
gas,four,rwd,188.8,68.9,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845
gas,four,rwd,188.8,68.8,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045
gas,four,rwd,188.8,68.9,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485
diesel,four,rwd,188.8,68.9,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470
gas,four,rwd,188.8,68.9,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625
